Strategy_ID,Net_Profit,Drawdown,Win_Rate,SQN_Score,Ret_DD_Ratio,Category
SYN_0428,10809.72,2649.44,53.21,2.59,4.08,Good
SYN_0429,7467.71,2269.82,47.53,2.24,3.29,Medium
SYN_0430,12543.77,3159.64,55.48,2.36,3.97,Good
SYN_0431,11465.46,2582.31,56.23,3.88,4.44,Good
SYN_0432,12310.25,3140.37,57.76,2.78,3.92,Good
SYN_0433,9394.12,2917.43,61.06,2.86,3.22,Good
SYN_0434,11908.76,2700.4,55.13,3.2,4.41,Good
SYN_0435,4022.46,1621.96,41.13,1.64,2.48,Bad
SYN_0436,5933.96,1926.61,47.74,2.09,3.08,Medium
SYN_0437,11031.08,3064.19,58.53,3.14,3.6,Good
SYN_0438,8080.08,2433.76,48.41,2.29,3.32,Medium
SYN_0439,14508.97,3446.31,59.33,3.12,4.21,Good
SYN_0440,10404.02,2882.0,54.83,2.8,3.61,Good
SYN_0441,13918.28,3099.84,58.3,3.24,4.49,Good
SYN_0442,3538.15,1468.11,40.85,1.46,2.41,Bad
SYN_0443,11593.46,2965.08,56.56,2.81,3.91,Good
SYN_0444,13173.16,3077.84,55.94,3.12,4.28,Good
SYN_0445,5258.18,2190.91,39.26,1.74,2.4,Bad
SYN_0446,8511.3,2895.0,48.95,2.23,2.94,Medium
SYN_0447,7024.8,2341.6,49.36,1.91,3.0,Medium
SYN_0448,7773.61,2515.73,46.46,2.19,3.09,Medium
SYN_0449,7130.85,2307.72,48.85,2.26,3.09,Medium
SYN_0450,12765.64,2996.63,57.14,2.82,4.26,Good
SYN_0451,4640.64,1675.32,44.2,1.83,2.77,Bad
SYN_0452,11657.02,3238.06,56.14,3.17,3.6,Good
SYN_0453,4686.55,2046.53,48.82,1.33,2.29,Bad
SYN_0454,14869.13,3150.24,57.92,3.17,4.72,Good
SYN_0455,3896.77,1658.2,40.53,1.8,2.35,Bad
SYN_0456,3866.75,1798.49,42.7,1.12,2.15,Bad
SYN_0457,14212.26,3561.97,58.57,2.81,3.99,Good
SYN_0458,7624.68,2483.61,49.15,2.09,3.07,Medium
SYN_0459,7897.13,2531.13,50.49,2.14,3.12,Medium
SYN_0460,7569.65,2372.93,50.63,2.5,3.19,Medium
SYN_0461,11397.06,2726.57,56.64,2.77,4.18,Good
SYN_0462,7305.71,2356.68,47.51,2.24,3.1,Medium
SYN_0463,4614.86,1654.07,41.0,1.47,2.79,Bad
SYN_0464,14052.01,3418.98,61.1,2.44,4.11,Good
SYN_0465,10314.7,2743.27,58.2,2.47,3.76,Good
SYN_0466,12036.71,3094.27,56.49,3.1,3.89,Good
SYN_0467,4396.91,1704.23,47.99,1.22,2.58,Bad
SYN_0468,12054.76,2475.31,54.95,3.3,4.87,Good
SYN_0469,10291.09,2598.76,56.09,3.01,3.96,Good
SYN_0470,11972.36,2970.81,58.42,2.38,4.03,Good
SYN_0471,6734.98,2091.61,49.81,2.04,3.22,Medium
SYN_0472,7214.53,2334.8,50.43,2.02,3.09,Medium
SYN_0473,3980.64,1502.13,46.62,1.22,2.65,Bad
SYN_0474,7751.83,2430.04,50.56,2.12,3.19,Medium
SYN_0475,11229.62,2814.44,57.74,2.74,3.99,Good
SYN_0476,17522.49,3191.71,54.96,2.89,5.49,Good
SYN_0477,3603.82,1501.59,43.84,1.69,2.4,Bad
SYN_0478,4056.88,1726.33,41.67,1.3,2.35,Bad
SYN_0479,15749.71,3227.4,55.17,2.45,4.88,Good
SYN_0480,3861.92,1563.53,43.79,1.46,2.47,Bad
SYN_0481,10010.97,2394.97,54.68,2.48,4.18,Good
SYN_0482,13738.54,3209.94,54.1,2.93,4.28,Good
SYN_0483,7701.65,2299.0,51.49,1.96,3.35,Medium
SYN_0484,15081.46,3188.47,56.85,2.88,4.73,Good
SYN_0485,7199.11,2278.2,49.2,1.99,3.16,Medium
SYN_0486,12912.45,2712.7,52.45,2.97,4.76,Good
SYN_0487,7239.87,2413.29,53.16,1.95,3.0,Medium
SYN_0488,4383.8,1767.66,45.87,1.41,2.48,Bad
SYN_0489,3947.71,1456.72,44.58,1.59,2.71,Bad
SYN_0490,12866.08,2827.71,64.48,2.35,4.55,Good
SYN_0491,8100.63,2579.82,49.32,2.43,3.14,Medium
SYN_0492,10024.64,2702.06,60.76,2.91,3.71,Good
SYN_0493,11935.74,3084.17,56.39,2.4,3.87,Good
SYN_0494,13597.88,3035.24,57.55,2.66,4.48,Good
SYN_0495,4810.78,1886.58,40.22,1.67,2.55,Bad
SYN_0496,10590.92,2862.41,62.0,2.89,3.7,Good
SYN_0497,7718.26,2331.8,52.18,2.35,3.31,Medium
SYN_0498,8307.92,2572.11,48.99,2.16,3.23,Medium
SYN_0499,11522.95,3048.4,54.62,2.77,3.78,Good
SYN_0500,4600.94,1825.77,43.56,1.68,2.52,Bad
SYN_0501,4389.42,1688.24,40.72,1.6,2.6,Bad
SYN_0502,10713.31,2895.49,59.51,2.91,3.7,Good
SYN_0503,5083.79,1828.7,44.45,1.44,2.78,Bad
SYN_0504,5713.62,2223.2,41.57,1.75,2.57,Bad
SYN_0505,4750.73,1766.07,40.76,1.76,2.69,Bad
SYN_0506,11735.39,2926.53,55.17,2.63,4.01,Good
SYN_0507,14604.4,2932.61,57.1,3.2,4.98,Good
SYN_0508,4382.9,1760.2,42.6,1.47,2.49,Bad
SYN_0509,3858.5,1699.78,40.35,1.54,2.27,Bad
SYN_0510,13893.69,3164.85,60.29,2.93,4.39,Good
SYN_0511,13527.98,2903.0,56.28,2.85,4.66,Good
SYN_0512,4731.68,1892.67,42.23,1.44,2.5,Bad
SYN_0513,4790.09,1686.65,38.76,1.94,2.84,Bad
SYN_0514,12658.81,3606.5,59.15,2.99,3.51,Good
SYN_0515,8937.43,2659.95,57.64,2.26,3.36,Good
SYN_0516,12967.66,3058.41,62.98,3.04,4.24,Good
SYN_0517,11642.44,2970.01,59.7,3.29,3.92,Good
SYN_0518,12369.0,2779.55,60.32,3.45,4.45,Good
SYN_0519,14052.02,3245.27,51.84,2.43,4.33,Good
SYN_0520,12244.49,2679.32,60.5,2.53,4.57,Good
SYN_0521,6984.66,2282.57,48.85,2.37,3.06,Medium
SYN_0522,6151.74,1875.53,47.94,2.2,3.28,Medium
SYN_0523,15607.66,3334.97,58.13,3.21,4.68,Good
SYN_0524,11009.75,2991.78,61.41,2.43,3.68,Good
SYN_0525,4416.96,1802.84,43.78,1.37,2.45,Bad
SYN_0526,11791.41,2508.81,58.55,3.17,4.7,Good
SYN_0527,6297.91,2164.23,49.23,2.28,2.91,Medium
SYN_0528,13897.35,3381.35,56.78,2.44,4.11,Good
SYN_0529,5120.92,1977.19,38.09,1.61,2.59,Bad
SYN_0530,3335.87,1361.58,45.31,1.6,2.45,Bad
SYN_0531,11116.98,2678.79,58.47,2.84,4.15,Good
SYN_0532,18226.24,3451.94,57.43,2.98,5.28,Good
SYN_0533,14381.44,3059.88,52.75,2.75,4.7,Good
SYN_0534,12964.32,2806.13,59.17,3.15,4.62,Good
SYN_0535,4485.88,1861.36,43.21,1.3,2.41,Bad
SYN_0536,8926.32,2688.65,59.05,3.37,3.32,Good
SYN_0537,14803.57,3403.12,55.64,3.05,4.35,Good
SYN_0538,4051.73,1607.83,47.23,1.8,2.52,Bad
SYN_0539,8543.01,2746.95,48.87,2.19,3.11,Medium
SYN_0540,4278.59,1633.05,43.08,1.51,2.62,Bad
SYN_0541,13226.22,3281.94,61.82,2.75,4.03,Good
SYN_0542,16342.73,3664.29,58.56,3.19,4.46,Good
SYN_0543,10750.2,2654.37,60.21,2.96,4.05,Good
SYN_0544,11474.62,3068.08,57.21,2.76,3.74,Good
SYN_0545,3833.41,1404.18,44.75,1.42,2.73,Bad
SYN_0546,13360.22,3165.93,58.86,2.48,4.22,Good
SYN_0547,12708.9,3033.15,59.94,2.93,4.19,Good
SYN_0548,11844.54,3175.48,55.47,2.84,3.73,Good
SYN_0549,12394.79,2797.92,55.31,2.67,4.43,Good
SYN_0550,4751.58,1900.63,43.79,1.53,2.5,Bad
SYN_0551,14891.19,2841.83,54.52,2.94,5.24,Good
SYN_0552,15266.25,3362.61,61.27,2.87,4.54,Good
SYN_0553,11740.66,2808.77,62.43,2.72,4.18,Good
SYN_0554,13304.21,3716.26,57.83,3.22,3.58,Good
SYN_0555,4467.9,1673.37,41.77,1.55,2.67,Bad
SYN_0556,8531.8,2569.82,49.18,2.23,3.32,Medium
SYN_0557,10840.42,3398.25,56.73,2.86,3.19,Good
SYN_0558,3788.52,1787.04,40.93,1.77,2.12,Bad
SYN_0559,4578.33,1714.73,43.5,1.52,2.67,Bad
SYN_0560,11796.11,3439.1,62.12,2.55,3.43,Good
SYN_0561,3878.16,1708.44,45.05,1.3,2.27,Bad
SYN_0562,12075.85,2619.49,58.91,2.86,4.61,Good
SYN_0563,4153.45,1641.68,43.22,1.42,2.53,Bad
SYN_0564,10952.99,2731.42,61.02,2.18,4.01,Good
SYN_0565,12238.76,2900.18,57.68,2.98,4.22,Good
SYN_0566,3608.36,1618.1,39.25,1.39,2.23,Bad
SYN_0567,7062.41,2285.57,50.07,2.07,3.09,Medium
SYN_0568,6802.12,2139.03,50.9,2.09,3.18,Medium
SYN_0569,18217.01,3960.22,57.76,3.31,4.6,Good
SYN_0570,14200.09,3242.03,61.13,2.87,4.38,Good
SYN_0571,4850.95,1865.75,39.08,1.75,2.6,Bad
SYN_0572,7189.47,2246.71,48.94,2.31,3.2,Medium
SYN_0573,15943.12,3335.38,57.86,3.5,4.78,Good
SYN_0574,7389.96,2179.93,50.47,1.86,3.39,Medium
SYN_0575,4191.45,1656.7,47.08,1.31,2.53,Bad
SYN_0576,13247.84,3192.25,58.3,2.22,4.15,Good
SYN_0577,9573.85,2493.19,57.29,2.41,3.84,Good
SYN_0578,10573.46,2511.51,57.56,2.31,4.21,Good
SYN_0579,7260.19,2261.74,47.48,2.28,3.21,Medium
SYN_0580,11310.08,2718.77,55.74,2.54,4.16,Good
SYN_0581,10856.08,2734.53,55.92,2.72,3.97,Good
SYN_0582,7653.94,2355.06,51.82,2.34,3.25,Medium
SYN_0583,3079.63,1362.67,47.43,1.54,2.26,Bad
SYN_0584,12422.75,2971.95,59.54,3.26,4.18,Good
SYN_0585,8705.77,2622.22,47.16,2.0,3.32,Medium
SYN_0586,4303.28,1973.98,42.26,1.67,2.18,Bad
SYN_0587,8324.88,2729.47,49.01,2.05,3.05,Medium
SYN_0588,12144.15,2926.3,53.37,2.92,4.15,Good
SYN_0589,10341.04,2757.61,59.92,2.45,3.75,Good
SYN_0590,14244.07,3063.24,62.46,2.48,4.65,Good
SYN_0591,4985.97,1839.84,44.14,1.57,2.71,Bad
SYN_0592,6966.32,2410.49,51.55,2.37,2.89,Medium
SYN_0593,4550.75,1827.61,40.31,1.58,2.49,Bad
SYN_0594,10339.98,2912.67,64.71,2.6,3.55,Good
SYN_0595,12742.47,3242.36,63.48,2.88,3.93,Good
SYN_0596,7866.59,2497.33,49.09,1.92,3.15,Medium
SYN_0597,8577.86,2723.13,47.89,2.32,3.15,Medium
SYN_0598,11509.34,2906.4,54.84,2.55,3.96,Good
SYN_0599,8043.95,2415.6,49.76,2.17,3.33,Medium
SYN_0600,11522.73,2736.99,59.15,2.82,4.21,Good
SYN_0601,3717.03,1637.46,45.37,1.43,2.27,Bad
SYN_0602,4291.86,1751.78,42.23,1.6,2.45,Bad
SYN_0603,9745.13,2376.86,60.11,2.82,4.1,Good
SYN_0604,11779.02,2974.5,58.81,2.68,3.96,Good
SYN_0605,4164.79,1659.28,38.25,1.57,2.51,Bad
SYN_0606,4754.54,1828.67,46.88,1.69,2.6,Bad
SYN_0607,15022.89,2968.95,57.8,2.14,5.06,Good
SYN_0608,10388.2,2822.88,61.24,3.34,3.68,Good
SYN_0609,4404.4,1720.47,38.33,1.47,2.56,Bad
SYN_0610,10010.23,3080.07,62.17,3.22,3.25,Good
SYN_0611,11763.3,3016.23,57.21,2.16,3.9,Good
SYN_0612,13291.16,2798.14,56.43,3.03,4.75,Good
SYN_0613,15438.11,3075.32,56.51,2.66,5.02,Good
SYN_0614,4632.19,1768.01,43.0,1.72,2.62,Bad
SYN_0615,16078.29,3171.26,57.02,3.19,5.07,Good
SYN_0616,3742.48,1479.24,43.49,1.45,2.53,Bad
SYN_0617,11754.86,2946.08,61.17,3.09,3.99,Good
SYN_0618,7860.98,2577.37,50.85,1.99,3.05,Medium
SYN_0619,8292.97,2632.69,50.84,2.37,3.15,Medium
SYN_0620,12540.52,2889.52,59.5,2.62,4.34,Good
SYN_0621,3936.41,1568.29,42.89,1.75,2.51,Bad
SYN_0622,4920.81,1656.84,39.99,1.5,2.97,Bad
SYN_0623,7275.13,2316.92,51.11,1.99,3.14,Medium
SYN_0624,7859.36,2456.05,52.25,2.19,3.2,Medium
SYN_0625,7817.3,2458.27,51.66,2.11,3.18,Medium
SYN_0626,5182.41,1744.92,44.56,1.37,2.97,Bad
SYN_0627,4009.99,1699.15,41.5,1.39,2.36,Bad
SYN_0628,4237.91,1681.71,39.75,1.36,2.52,Bad
SYN_0629,10580.84,3066.91,57.33,3.04,3.45,Good
SYN_0630,9369.76,2747.73,60.76,2.65,3.41,Good
SYN_0631,14190.02,3239.73,57.65,3.02,4.38,Good
SYN_0632,12576.06,3045.05,58.37,2.79,4.13,Good
SYN_0633,4826.21,1761.39,44.99,1.64,2.74,Bad
SYN_0634,12636.52,3074.58,59.3,2.64,4.11,Good
SYN_0635,8950.84,2704.18,50.55,2.04,3.31,Medium
SYN_0636,12486.76,3068.0,55.99,2.75,4.07,Good
SYN_0637,7286.85,2404.9,51.22,2.11,3.03,Medium
SYN_0638,12160.51,3340.8,55.64,2.73,3.64,Good
SYN_0639,12773.6,3026.92,56.37,3.24,4.22,Good
SYN_0640,5080.66,1954.1,43.29,1.27,2.6,Bad
SYN_0641,10163.77,2553.71,59.98,2.45,3.98,Good
SYN_0642,10973.38,3135.25,57.62,2.88,3.5,Good
SYN_0643,14108.19,3177.52,55.86,2.67,4.44,Good
SYN_0644,12979.86,2897.29,54.87,2.27,4.48,Good
SYN_0645,5323.03,2063.19,42.99,1.45,2.58,Bad
SYN_0646,13087.12,3499.23,58.49,2.98,3.74,Good
SYN_0647,12350.85,2990.52,52.81,2.71,4.13,Good
SYN_0648,13098.89,3218.4,56.83,2.83,4.07,Good
SYN_0649,8242.35,2641.78,50.13,1.84,3.12,Medium
SYN_0650,6460.64,2025.28,52.05,2.12,3.19,Medium
SYN_0651,7610.66,2400.84,50.6,2.11,3.17,Medium
SYN_0652,8216.0,2766.33,50.2,2.26,2.97,Medium
SYN_0653,5408.17,2048.55,43.93,1.27,2.64,Bad
SYN_0654,3240.4,1169.82,42.26,1.38,2.77,Bad
SYN_0655,4391.4,1829.75,47.61,1.48,2.4,Bad
SYN_0656,12311.0,3124.62,60.15,2.93,3.94,Good
SYN_0657,11558.58,3074.09,59.43,2.68,3.76,Good
SYN_0658,6842.09,2506.26,46.58,2.3,2.73,Medium
SYN_0659,10768.03,2886.87,60.69,2.39,3.73,Good
SYN_0660,8437.06,2383.35,50.53,2.06,3.54,Medium
SYN_0661,7682.08,2385.74,47.45,2.25,3.22,Medium
SYN_0662,12815.24,2822.74,54.53,2.85,4.54,Good
SYN_0663,16144.44,3486.92,58.13,2.84,4.63,Good
SYN_0664,12053.98,3098.71,59.15,2.21,3.89,Good
SYN_0665,13896.42,3201.94,54.88,3.2,4.34,Good
SYN_0666,3636.74,1581.19,42.18,1.13,2.3,Bad
SYN_0667,8352.36,2703.03,48.52,2.13,3.09,Medium
SYN_0668,14484.37,3666.93,56.86,2.54,3.95,Good
SYN_0669,10968.6,2894.09,57.73,2.91,3.79,Good
SYN_0670,13785.65,2996.88,55.65,2.82,4.6,Good
SYN_0671,12381.01,3012.41,58.44,2.51,4.11,Good
SYN_0672,9703.85,2812.71,57.31,3.52,3.45,Good
SYN_0673,14215.3,3252.93,59.79,3.52,4.37,Good
SYN_0674,14927.26,3354.44,64.55,3.23,4.45,Good
SYN_0675,12577.7,2839.21,60.24,3.06,4.43,Good
SYN_0676,12034.62,2639.17,59.22,3.11,4.56,Good
SYN_0677,3685.35,1370.02,45.04,1.7,2.69,Bad
SYN_0678,5264.97,2140.23,41.59,1.79,2.46,Bad
SYN_0679,11201.38,2758.96,61.12,2.54,4.06,Good
SYN_0680,15654.68,3143.51,57.86,2.72,4.98,Good
SYN_0681,10645.35,2838.76,56.66,3.4,3.75,Good
SYN_0682,7359.76,2314.39,48.81,2.09,3.18,Medium
SYN_0683,12394.77,3052.9,60.57,2.49,4.06,Good
SYN_0684,11550.92,2750.22,57.05,2.82,4.2,Good
SYN_0685,13340.03,3501.32,56.87,2.82,3.81,Good
SYN_0686,11444.85,2980.43,63.44,3.29,3.84,Good
SYN_0687,14165.77,3271.54,62.7,2.93,4.33,Good
SYN_0688,15169.97,3487.35,54.55,2.88,4.35,Good
SYN_0689,13751.69,3022.35,57.92,3.04,4.55,Good
SYN_0690,7772.79,2377.0,48.0,2.19,3.27,Medium
SYN_0691,7570.03,2280.13,46.53,2.14,3.32,Medium
SYN_0692,6580.37,2178.93,48.11,2.14,3.02,Medium
SYN_0693,7629.81,2399.31,52.44,1.98,3.18,Medium
SYN_0694,12861.03,3019.02,62.28,2.92,4.26,Good
SYN_0695,4970.95,1875.83,40.67,1.46,2.65,Bad
SYN_0696,12349.11,2858.59,58.39,3.05,4.32,Good
SYN_0697,3725.5,1460.98,43.16,1.24,2.55,Bad
SYN_0698,8908.7,2635.71,52.09,2.52,3.38,Medium
SYN_0699,8021.51,2453.06,50.04,2.48,3.27,Medium
SYN_0700,11496.57,2776.95,55.53,2.95,4.14,Good
SYN_0701,3797.57,1550.03,43.07,1.34,2.45,Bad
SYN_0702,7430.2,2579.93,47.82,2.14,2.88,Medium
SYN_0703,3455.67,1476.78,42.5,1.3,2.34,Bad
SYN_0704,12981.82,3337.23,58.41,3.14,3.89,Good
SYN_0705,13143.38,3085.3,54.57,2.74,4.26,Good
SYN_0706,8470.5,2706.23,49.89,2.17,3.13,Medium
SYN_0707,14574.85,3397.4,58.49,3.37,4.29,Good
SYN_0708,17888.8,3433.55,55.76,2.98,5.21,Good
SYN_0709,14523.14,3293.23,63.98,3.02,4.41,Good
SYN_0710,13723.01,2913.59,57.23,2.87,4.71,Good
SYN_0711,10726.64,3091.25,61.12,2.92,3.47,Good
SYN_0712,8506.11,2633.47,47.85,2.49,3.23,Medium
SYN_0713,17855.08,3535.66,57.41,2.75,5.05,Good
SYN_0714,7419.73,2269.03,51.54,2.14,3.27,Medium
SYN_0715,4352.08,1892.21,43.47,1.7,2.3,Bad
SYN_0716,8348.47,2560.88,48.66,2.17,3.26,Medium
SYN_0717,4591.94,1752.65,42.77,1.62,2.62,Bad
SYN_0718,15085.85,3216.6,52.94,3.16,4.69,Good
SYN_0719,5861.33,2063.85,40.92,1.55,2.84,Bad
SYN_0720,14468.35,3165.94,59.61,2.89,4.57,Good
SYN_0721,10555.23,2685.81,60.34,2.78,3.93,Good
SYN_0722,10193.14,2492.21,54.37,2.98,4.09,Good
SYN_0723,6911.73,2367.03,50.87,2.09,2.92,Medium
SYN_0724,4537.7,1712.34,42.55,1.4,2.65,Bad
SYN_0725,5535.58,2035.14,44.06,1.71,2.72,Bad
SYN_0726,4184.77,1585.14,41.27,1.67,2.64,Bad
SYN_0727,10892.72,2723.18,57.84,2.43,4.0,Good
SYN_0728,8150.99,2433.13,52.51,1.98,3.35,Medium
SYN_0729,4479.24,1828.26,42.05,1.22,2.45,Bad
SYN_0730,5564.18,2131.87,42.49,1.6,2.61,Bad
SYN_0731,11786.81,2819.81,61.29,3.24,4.18,Good
SYN_0732,12780.31,3661.98,58.63,2.94,3.49,Good
SYN_0733,16022.57,3401.82,60.68,3.1,4.71,Good
SYN_0734,3997.53,1638.33,41.83,1.55,2.44,Bad
SYN_0735,9125.65,2629.87,50.04,2.12,3.47,Medium
SYN_0736,3680.97,1454.93,43.24,1.32,2.53,Bad
SYN_0737,12816.06,3354.99,54.48,3.22,3.82,Good
SYN_0738,15029.21,3170.72,59.89,3.35,4.74,Good
SYN_0739,7270.47,2286.31,54.66,1.97,3.18,Medium
SYN_0740,7801.33,2430.32,46.2,2.29,3.21,Medium
SYN_0741,14291.11,3154.77,59.5,3.03,4.53,Good
SYN_0742,13802.45,3020.23,56.35,3.09,4.57,Good
SYN_0743,4373.53,1763.52,46.6,1.74,2.48,Bad
SYN_0744,5334.15,1975.61,43.0,1.34,2.7,Bad
SYN_0745,11623.23,3340.01,58.74,2.55,3.48,Good
SYN_0746,7607.44,2298.32,51.36,2.13,3.31,Medium
SYN_0747,13296.91,2841.22,58.99,3.01,4.68,Good
SYN_0748,12324.11,3432.9,55.44,2.85,3.59,Good
SYN_0749,12800.33,3265.39,55.63,2.99,3.92,Good
SYN_0750,4351.28,1867.5,42.98,1.44,2.33,Bad
SYN_0751,4121.31,1890.51,40.11,1.69,2.18,Bad
SYN_0752,4220.99,1681.67,43.14,1.61,2.51,Bad
SYN_0753,8797.5,2801.75,46.64,2.27,3.14,Medium
SYN_0754,13760.44,3085.3,57.53,2.98,4.46,Good
SYN_0755,10819.92,3339.48,60.41,3.25,3.24,Good
SYN_0756,10409.47,3336.37,60.09,2.46,3.12,Good
SYN_0757,4519.34,1758.5,43.68,1.39,2.57,Bad
SYN_0758,4491.09,1669.55,43.41,1.69,2.69,Bad
SYN_0759,7423.81,2364.27,52.49,2.17,3.14,Medium
SYN_0760,14127.02,3005.75,56.96,3.14,4.7,Good
SYN_0761,15117.7,3097.89,56.4,2.48,4.88,Good
SYN_0762,4923.79,2026.25,41.4,1.85,2.43,Bad
SYN_0763,8252.9,2636.71,48.2,2.09,3.13,Medium
SYN_0764,11979.17,3144.14,54.93,2.72,3.81,Good
SYN_0765,4748.12,1869.34,40.37,1.66,2.54,Bad
SYN_0766,15680.28,3742.31,58.65,2.72,4.19,Good
SYN_0767,10964.9,2818.74,60.99,2.52,3.89,Good
SYN_0768,4584.1,2064.91,38.01,1.56,2.22,Bad
SYN_0769,15123.39,3080.12,56.58,3.08,4.91,Good
SYN_0770,13369.19,2773.69,61.38,3.14,4.82,Good
SYN_0771,7428.91,2350.92,47.51,2.07,3.16,Medium
SYN_0772,10130.19,2752.77,52.79,2.69,3.68,Good
SYN_0773,10652.26,2738.37,62.35,3.43,3.89,Good
SYN_0774,7371.99,2310.97,47.35,2.32,3.19,Medium
SYN_0775,16278.72,3658.14,55.18,2.31,4.45,Good
SYN_0776,7289.96,2359.21,50.52,2.19,3.09,Medium
SYN_0777,4423.96,1755.54,45.4,1.73,2.52,Bad
SYN_0778,15121.41,3210.49,56.64,2.66,4.71,Good
SYN_0779,14608.35,3161.98,58.43,2.92,4.62,Good
SYN_0780,12811.96,3345.16,57.94,3.13,3.83,Good
SYN_0781,11461.66,2690.53,64.62,2.87,4.26,Good
SYN_0782,12051.34,2975.64,58.16,3.09,4.05,Good
SYN_0783,8717.3,2448.68,52.09,2.32,3.56,Medium
SYN_0784,16113.69,3350.04,56.76,3.05,4.81,Good
SYN_0785,13268.84,2675.17,56.94,2.73,4.96,Good
SYN_0786,4452.72,1619.17,43.47,1.5,2.75,Bad
SYN_0787,8261.46,2691.03,48.32,2.05,3.07,Medium
SYN_0788,16065.7,3562.24,54.86,3.11,4.51,Good
SYN_0789,3625.6,1328.06,41.34,1.64,2.73,Bad
SYN_0790,13997.28,3225.18,57.09,3.1,4.34,Good
SYN_0791,12176.0,3204.21,57.3,2.99,3.8,Good
SYN_0792,13132.1,3011.95,52.87,2.76,4.36,Good
SYN_0793,7600.81,2345.93,50.98,2.17,3.24,Medium
SYN_0794,4312.83,1732.06,41.52,1.37,2.49,Bad
SYN_0795,13696.94,2806.75,59.57,2.57,4.88,Good
SYN_0796,4482.35,1771.68,41.51,1.38,2.53,Bad
SYN_0797,4487.58,1787.88,44.07,1.65,2.51,Bad
SYN_0798,4625.91,1688.29,44.82,1.59,2.74,Bad
SYN_0799,4264.5,1705.8,42.1,1.42,2.5,Bad
SYN_0800,13831.34,3216.59,55.09,2.94,4.3,Good
SYN_0801,4505.99,1885.35,41.1,1.41,2.39,Bad
SYN_0802,6266.2,2237.93,47.71,2.04,2.8,Medium
SYN_0803,5014.02,1771.74,42.82,1.49,2.83,Bad
SYN_0804,7449.18,2349.9,50.79,2.32,3.17,Medium
SYN_0805,8077.69,2341.36,60.36,2.65,3.45,Good
SYN_0806,12267.65,3029.05,62.13,2.89,4.05,Good
SYN_0807,12728.01,3331.94,59.87,2.55,3.82,Good
SYN_0808,13052.48,3263.12,58.47,3.01,4.0,Good
SYN_0809,7771.85,2246.2,45.87,2.12,3.46,Medium
SYN_0810,4533.34,1912.8,43.59,1.53,2.37,Bad
SYN_0811,7383.48,2264.87,50.55,2.37,3.26,Medium
SYN_0812,18630.16,3756.08,58.77,2.64,4.96,Good
SYN_0813,3678.17,1620.34,43.4,1.65,2.27,Bad
SYN_0814,5316.93,1852.59,44.42,1.64,2.87,Bad
SYN_0815,13559.69,3606.3,56.38,2.85,3.76,Good
SYN_0816,4846.74,1815.26,41.51,1.58,2.67,Bad
SYN_0817,5649.15,2123.74,44.35,1.7,2.66,Bad
SYN_0818,4601.35,1716.92,38.26,1.65,2.68,Bad
SYN_0819,4160.08,1677.45,42.31,1.69,2.48,Bad
SYN_0820,11341.67,2503.68,56.91,2.65,4.53,Good
SYN_0821,5931.47,1957.58,49.59,2.09,3.03,Medium
SYN_0822,4889.75,1752.6,45.59,1.86,2.79,Bad
SYN_0823,6396.75,2146.56,47.65,2.29,2.98,Medium
SYN_0824,10274.89,2792.09,57.89,2.55,3.68,Good
SYN_0825,4067.96,1458.05,43.56,1.44,2.79,Bad
SYN_0826,14350.69,3466.35,59.63,2.65,4.14,Good
SYN_0827,14652.93,3157.96,60.01,3.44,4.64,Good
SYN_0828,15125.08,3288.06,60.94,2.61,4.6,Good
SYN_0829,7103.59,2146.1,50.28,2.3,3.31,Medium
SYN_0830,8218.75,2315.14,51.07,2.23,3.55,Medium
SYN_0831,7854.6,2358.74,50.33,2.15,3.33,Medium
SYN_0832,7933.27,2550.89,51.83,2.08,3.11,Medium
SYN_0833,4056.35,1572.23,43.69,1.92,2.58,Bad
SYN_0834,11117.26,2704.93,59.79,3.33,4.11,Good
SYN_0835,7476.31,2205.4,47.45,2.2,3.39,Medium
SYN_0836,12117.12,3014.21,59.09,2.29,4.02,Good
SYN_0837,5123.94,1810.58,47.37,1.52,2.83,Bad
SYN_0838,11597.03,2600.23,61.25,3.26,4.46,Good
SYN_0839,13771.92,3115.82,57.13,2.73,4.42,Good
SYN_0840,14105.0,3053.03,58.07,2.56,4.62,Good
SYN_0841,12353.29,2920.4,50.65,3.07,4.23,Good
SYN_0842,3655.32,1498.08,46.28,1.59,2.44,Bad
SYN_0843,7884.86,2389.35,50.7,2.29,3.3,Medium
SYN_0844,4556.9,1645.09,46.63,1.43,2.77,Bad
SYN_0845,4177.33,1619.12,41.54,1.49,2.58,Bad
SYN_0846,3947.35,1651.61,39.84,1.78,2.39,Bad
SYN_0847,15729.23,2865.07,61.88,2.92,5.49,Good
SYN_0848,14126.98,2943.12,56.6,2.35,4.8,Good
SYN_0849,4633.79,1775.4,42.63,1.78,2.61,Bad
SYN_0850,10474.51,2854.09,53.78,2.56,3.67,Good
SYN_0851,5840.49,2007.04,42.53,1.6,2.91,Bad
SYN_0852,5979.79,1941.49,49.21,2.35,3.08,Medium
SYN_0853,14201.65,3162.95,55.58,3.06,4.49,Good
SYN_0854,10117.2,2898.91,59.48,3.07,3.49,Good
SYN_0855,5691.98,2214.78,43.37,1.4,2.57,Bad
SYN_0856,11782.66,2931.01,61.73,2.85,4.02,Good
